,pathogen,disease,symptoms
1196,Japanese encephalitis virus JEV,Japanese encephalitis,"fever,  headache,  stiff neck,  stupor,  disorientation,  coma,  tremor,  convulsion,  spastic paralysis,  decreased motor response,  stillbirth,  abortion,  infertility, fever,"
1197,Japanese encephalitis virus  JEV,,
1198,Jeju orthohantavirus JOV,,
1199,Johnsonella ignava J.,Periodontitis,
1200,Jugra virus JV,,
1201,Junin mammarenavirus JMV,Argentine hemorrhagic fever,
1202,Junin virus JV,Junin hemorrhagic fever,
1203,Kadam virus KV,,
1204,Kadipiro virus KV,,
1205,Kaeng Khoi orthobunyavirus KKOV,,
1206,Kamiti River virus KRV,,
1207,Kasokero orthonairovirus KOV,,
1208,Kazachstania bovina K.,,
1209,Kazachstania pintolopesii K.,,
1210,Kazachstania telluris K.,,
1211,Kedougou virus KV,,
1212,Kenkeme orthohantavirus KOV,,
1213,Keratinomyces ceretanicus K.,,
1214,Kerstersia gyiorum K.,Wound infection,
1215,Keterah orthonairovirus KOV,,
1216,Keystone virus KV,,
1217,Khabarovsk orthohantavirus KOV,,
1218,Kingella denitrificans K.,"Septic arthritis, endocarditis, bite infection",
1219,Kingella kingae K.,"Septic arthritis, endocarditis, bite infection",
1220,Kingella oralis K.,"Septic arthritis, endocarditis, bite infection",
1221,Kingella potus K.,"Septic arthritis, endocarditis, bite infection",
1222,Klebsiella aerogenes K.,"Bacteraemia, respiratory tract infections, UTI",
1223,Klebsiella granulomatis K.,granuloma inguinale;Donovanosis,
1224,Klebsiella oxytoca K.,"UTI, bacteraemia, wound infection, respiratory tract infection",
1225,Klebsiella pneumoniae subsp. ozaenae K.,"UTI, bacteraemia, wound infection, respiratory tract infection",
1226,Klebsiella pneumoniae subsp. pneumoniae K.,"UTI, bacteraemia, wound infection, respiratory tract infection",
1227,Klebsiella pneumoniae subsp. rhinoscleromatis K.,Rhinoscleroma,
1228,Klebsiella variicola K.,"UTI, bacteraemia, wound infection, respiratory tract infection",
1229,Kluyvera ascorbata K.,"Bacteraemia, UTI, mediastinitis, line sepsis",
1230,Kluyvera cryocrescens K.,"Bacteraemia, UTI, mediastinitis, line sepsis",
1231,Kluyvera georgiana K.,"Bacteraemia, UTI, mediastinitis, line sepsis",
1232,Kluyvera intermedia K.,"Bacteraemia, UTI, mediastinitis, line sepsis",
1233,Kluyveromyces marxianus K.,,
1234,Knufia epidermidis K.,,
1235,Kocuria kristinae K.,"Cholecystitis, line-related sepsis",
1236,Kocuria rosea K.,"Cholecystitis, line-related sepsis",
1237,Kocuria varians K.,"Cholecystitis, line-related sepsis",
1238,Kokobera virus KV,,
1239,Kunjin virus KV,Kunjin encephalitis,"enlargement of lymph nodes,  fever,  lethargy,  rash,  muscle weakness,  fatigue,  severe headache,  stiff neck,  slurred speech,  delirium,  ataxia,  cranial nerve palsies,  respiratory failure,  chills,  photophobia,  nausea,  convulsion, enlargement of lymph nodes,"
1240,Kurthia gibsonii K.,,
1241,Kurthia zopfii K.,,
1242,Kyasanur forest disease virus KFDV,undocumented,"fever,  headache,  muscle pain,  cough,  dehydration,  bleeding,  backache, fever,"
1243,Kytococcus schroeteri K.,"Endocarditis, cerebral cyst infection",
1244,Kytococcus sedentarius K.,"Endocarditis, cerebral cyst infection",
1245,La Crosse virus LCV,La Crosse encephalitis,
1246,La Crosse virus  LCV,undocumented,"fever,  headache,  nausea,  vomiting,  lethargy,  seizure,  coma,  paralysis, fever,"
1247,Lacazia loboi L.,lobomycosis,
1248,Lachnoanaerobaculum saburreum L.,"Wounds, abscesses, septicaemia, periodontitis",
1249,Lactobacillus acidophilus L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1250,Lactobacillus brevis L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1251,Lactobacillus casei L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1252,Lactobacillus coleohominis L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1253,Lactobacillus crispatus L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1254,Lactobacillus dextrinicus L.,"Bacteraemia, abscesses, pulmonary infection",
1255,Lactobacillus fermentum L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1256,Lactobacillus gasseri L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1257,Lactobacillus iners L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1258,Lactobacillus jensenii L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1259,Lactobacillus leichmannii L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1260,Lactobacillus oris L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1261,Lactobacillus paracasei L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1262,Lactobacillus paraplantarum L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1263,Lactobacillus plantarum L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1264,Lactobacillus rhamnosus L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1265,Lactobacillus salivarius L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1266,Lactobacillus vaginalis L.,"Abscesses, bacteraemia, endometritis, endocarditis, lung infection, UTI",
1267,Lactococcus garvieae L.,"Bacteraemia, endocarditis, UTI",
1268,Lactococcus lactis L.,"Bacteraemia, endocarditis, UTI",
1269,Laguna Negra virus LNV,hantavirus pulmonary syndrome,
1270,Lake Victoria marburgvirus LVMV,Marburg virus disease,"diarrhea,  myalgia,  vomiting,  fever,  chills,  anorexia,  abdominal tenderness,  weakness,  malaise, diarrhea,"
1271,Langat virus LV,,
1272,Lasiodiplodia theobromae L.,,
1273,Lassa mammarenavirus LMV,Lassa fever,
1274,Lassa virus LV,Lassa fever,
1275,Latino mammarenavirus LMV,,
1276,Lautropia mirabilis L.,,
1277,Le Dantec ledantevirus LDLV,,
1278,Leclercia adecarboxylata L.,"Bacteraemia, wound infection",
1279,Legionella anisa L.,"Legionnaires’ disease, Pontiac fever",
1280,Legionella birminghamensis L.,"Legionnaires’ disease, Pontiac fever",
1281,Legionella cincinnatiensis L.,"Legionnaires’ disease, Pontiac fever",
1282,Legionella feeleii L.,"Legionnaires’ disease, Pontiac fever",
1283,Legionella hackeliae L.,"Legionnaires’ disease, Pontiac fever",
1284,Legionella israelensis L.,"Legionnaires’ disease, Pontiac fever",
1285,Legionella jordanis L.,"Legionnaires’ disease, Pontiac fever",
1286,Legionella lansingensis L.,"Legionnaires’ disease, Pontiac fever",
1287,Legionella longbeachae L.,"Legionnaires’ disease, Pontiac fever",
1288,Legionella lytica L.,"Legionnaires’ disease, Pontiac fever",
1289,Legionella maceachernii L.,"Legionnaires’ disease, Pontiac fever",
1290,Legionella oakridgensis L.,"Legionnaires’ disease, Pontiac fever",
1291,Legionella pneumophila L.,legionellosis;Legionnaires’ disease; Pontiac fever,
1292,Legionella quinlivanii L.,"Legionnaires’ disease, Pontiac fever",
1293,Legionella rubrilucens L.,"Legionnaires’ disease, Pontiac fever",
1294,Legionella sainthelensi L.,"Legionnaires’ disease, Pontiac fever",
1295,Legionella tucsonensis L.,"Legionnaires’ disease, Pontiac fever",
1296,Legionella wadsworthii L.,"Legionnaires’ disease, Pontiac fever",
1297,Legionella worsleiensis L.,"Legionnaires’ disease, Pontiac fever",
1298,Leifsonia aquatica L.,"UTI, endocarditis, meningitis, CAPD peritonitis",
1299,Leishmania L.,parasitic protozoa infectious disease;leishmaniasis,
1300,Lelliottia amnigena L.,"Bacteraemia, respiratory tract infections, UTI",
1301,Leminorella grimontii L.,"UTI, bacteraemia, surgical site infection, peritonitis",
1302,Leminorella richardii L.,"UTI, bacteraemia, surgical site infection, peritonitis",
1303,Leopards Hill virus LHV,,
1304,Leptosphaeria coniothyrium L.,,
1305,Leptospira L.,leptospirosis,
1306,Leptospira biflexa L.,Leptospirosis,
1307,Leptospira borgpetersenii L.,Leptospirosis,
1308,Leptospira broomii L.,Leptospirosis,
1309,Leptospira inadai L.,Leptospirosis,
1310,Leptospira interrogans L.,Leptospirosis,
1311,Leptospira kirschneri L.,Leptospirosis,
1312,Leptospira noguchii L.,Leptospirosis,
1313,Leptospira santarosai L.,Leptospirosis,
1314,Leptospira weilii L.,Leptospirosis,
1315,Leptotrichia buccalis L.,"Bacteraemia, endocarditis",
1316,Leptotrichia goodfellowii L.,"Bacteraemia, endocarditis",
1317,Leptotrichia shahii L.,"Bacteraemia, endocarditis",
1318,Leptotrichia trevisanii L.,"Bacteraemia, endocarditis",
1319,Leptotrombidium deliense L.,scrub typhus,
1320,Leuconostoc citreum L.,"Meningitis, bacteraemia, pulmonary infection",
1321,Leuconostoc lactis L.,"Meningitis, bacteraemia, pulmonary infection",
1322,Leuconostoc mesenteroides subsp. cremoris L.,"Meningitis, bacteraemia, pulmonary infection",
1323,Leuconostoc mesenteroides subsp. dextranicum L.,"Meningitis, bacteraemia, pulmonary infection",
1324,Leuconostoc mesenteroides subsp. mesenteroides L.,"Meningitis, bacteraemia, pulmonary infection",
1325,Leuconostoc pseudomesenteroides L.,"Meningitis, bacteraemia, pulmonary infection",
1326,Liao ning virus LNV,,
1327,Lichtheimia corymbifera L.,,
1328,Lichtheimia ramosa L.,,
1329,Listeria L.,listeriosis,
1330,Listeria grayi L.,"Septicaemia, meningitis, intrauterine infection, enteric infection",
1331,Listeria ivanovii L.,"Septicaemia, meningitis, intrauterine infection, enteric infection",
1332,Listeria monocytogenes L.,Septicemia;Septicaemia; meningitis; intrauterine infection; enteric infection,"abdominal cramp,  chills,  confusion,  convulsion,  diarrhea,  fever,  headache,  loss of balance,  muscles ache,  nausea,  photophobia,  premature labor,  spontaneous abortion,  stiff neck,  vomiting,  altered mental status,  ataxia,  encephalitis,  malaise,  meningitis,  seizure,  bifrontal headache,  drowsiness,  torticollis,  abdominal pain,  abnormal hemistanding,  abnormal hemiwalking,  anemia,  circling movement,  conjunctivitis,  decreased conscious proprioception,  decreased facial sensation,  decreased flexor withdrawal reflex,  decreased jaw tone,  decreased pharyngeal tone,  decreased tongue tone,  depression,  hemiparesis,  gastroenteritis,  septicemia,  epileptic seizure,  incoordination,  lateroventral deviation of the head,  partial hind limb paralysis,  shakes,  sudden ataxis,  anorexia,  decreased milk production,  transient fever,  corneal opacity,  inibility to stand,  recumbency,  staggering gait,  excess salivation,  facial muscle twitching,  loss of appetite,  loss of vision,  throat muscle paralysis, abdominal cramp,"
1333,Listeria monocytogenes ATCC 19115 L.,,"abdominal cramp,  diarrhea,  fever,  nausea,  vomiting,  circling movement,  droopy ears,  lip paralysis,  vaginal discharge, abdominal cramp,"
1334,Listeria monocytogenes EGD-e L.,Listeriosis,
1335,Listeria monocytogenes str. 1/2a F6854 L.,Meningoencephalomyelitis,"body ache,  diarrhea,  fever,  headache,  vomiting,  circling movement,  excess salivation,  head pressing,  recumbency, body ache,"
1336,Listeria monocytogenes str. 4b F2365 L.,Listeriosis,
1337,Listeria monocytogenes str. 4b H7858 L.,Listeriosis,
1338,Listeria seeligeri L.,"Septicaemia, meningitis, intrauterine infection, enteric infection",
1339,Litopenaeus vannamei L.,white shrimp allergy,
1340,Lloviu cuevavirus LCV,,
1341,Lomentospora prolificans L.,,
1342,Louping ill virus LIV,louping ill,
1343,Lujo mammarenavirus LMV,,
1344,Lumbo virus LV,,
1345,Luna mammarenavirus LMV,,
1346,Lunk mammarenavirus LMV,,
1347,Luteococcus peritonei L.,"Peritonitis, bacteraemia",
1348,Luteococcus sanguinis L.,"Peritonitis, bacteraemia",
1349,Lymphocytic choriomeningitis mammarenavirus LCMV,lymphocytic choriomeningitis,
1350,Lymphocytic choriomeningitis virus LCV,Non-arthropod-borne lymphocytic choriomeningitis,"severe headache,  photophobia,  nausea,  retrobulbar pain,  rash,  diarrhea,  cough,  muscles ache,  fever,  stiff neck,  vomiting, severe headache,"
1351,Lysinibacillus sphaericus L.,"Pneumonia, septicaemia, corneal infections, meningitis, food poisoning, eye infection, lung infection",
1352,Lyssavirus Ozernoe LOV,,
1353,Machupo mammarenavirus MMV,Bolivian hemorrhagic fever,
1354,Machupo virus MV,Machupo hemorrhagic fever,
1355,Macrorhabdus ornithogaster M.,,
1356,Madrid orthobunyavirus MOV,,
1357,Madurella mycetomatis M.,,
1358,Magnusiomyces capitatus M.,,
1359,Malassezia caprae M.,,
1360,Malassezia cuniculi M.,,
1361,Malassezia dermatis M.,,
1362,Malassezia equina M.,,
1363,Malassezia furfur M.,,
1364,Malassezia globosa M.,,
1365,Malassezia japonica M.,,
1366,Malassezia nana M.,,
1367,Malassezia obtusa M.,,
1368,Malassezia pachydermatis M.,,
1369,Malassezia restricta M.,,
1370,Malassezia slooffiae M.,,
1371,Malassezia sympodialis M.,,
1372,Malassezia yamatoensis M.,,
1373,Malbranchea pulchella M.,,
1374,Mamastrovirus 1 MV,,
1375,Mammalian rubulavirus 5 MRV,,
1376,Mannheimia haemolytica M.,"Wound infection, septicaemia, abscesses, pneumonia, endocarditis, meningitis",
1377,Manzanilla orthobunyavirus MOV,,
1378,Maporal orthohantavirus MOV,,
1379,Mapuera rubulavirus MRV,,
1380,Maraba vesiculovirus MVV,,
1381,Marburg marburgvirus MMV,,
1382,Marburgvirus MV,Marburg virus disease;Marburg hemorrhagic fever,"gum bleeding,  hypotension,  malaise,  subconjunctival bleeding,  abdominal tenderness,  fever,  tremor,  vomiting,  myalgia,  petechiae,  anorexia,  weakness,  diarrhea,  dysarthria,  epistaxis,  chills,  bronchopulmonary bleeding,  intestinal hemorrhage,  genitourinary hemorrhage,  low backache,  joint pain,  mouth bleeding,  mild conjunctivitis,  fatigue,  dizziness,  nasal bleeding,  abdominal pain,  headache,  hemodynamic instability,  prostration, gum bleeding,"
1383,Marituba orthobunyavirus MOV,,
1384,Massilia timonae M.,"Bacteraemia, wound infection",
1385,Mastomys M.,Lassa fever,
1386,Mayaro virus MV,,
1387,Meaban virus MV,,
1388,Measles morbillivirus MMV,,
1389,Measles virus MV,subacute sclerosing panencephalitis,
1390,Medicopsis romeroi M.,,
1391,Megasphaera elsdenii M.,"Endocarditis, abscess",
1392,Megasphaera micronuciformis M.,"Endocarditis, abscess",
1393,Melao virus MV,undocumented,
1394,Menangle rubulavirus MRV,,
1395,Mercadeo virus MV,,
1396,Mesorhizobium amorphae M.,Pneumonia,
1397,Metarhizium anisopliae M.,,
1398,Metarhizium granulomatis M.,,
1399,Metarhizium marquandii M.,,
1400,Metarhizium viride M.,,
1401,Methylobacterium extorquens M.,"Bacteraemia, CAPD peritonitis, UTI, septic arthritis",
1402,Methylobacterium mesophilicum M.,"Bacteraemia, CAPD peritonitis, UTI, septic arthritis",
1403,Metschnikowia pulcherrima M.,,
1404,Meyerozyma guilliermondii M.,,
1405,Microascus cinereus M.,,
1406,Microascus cirrosus M.,,
1407,Microascus trigonosporus M.,,
1408,Microbacterium arborescens M.,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
1409,Microbacterium imperiale M.,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
1410,Microbacterium liquefaciens M.,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
1411,Microbacterium oxydans M.,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
1412,Microbacterium paraoxydans M.,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
1413,Microbacterium resistens M.,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
1414,Microbacterium trichothecenolyticum M.,"Endophthalmitis, UTI, endocarditis, soft tissue infection, hypersensitivity pneumonitis, meningitis, CAPD peritonitis, bacteraemia",
1415,Micrococcus luteus M.,"Bacteraemia, endocarditis, septic arthritis",
1416,Micrococcus lylae M.,"Bacteraemia, endocarditis, septic arthritis",
1417,Microsphaeropsis olivacea M.,,
1418,Microsporidia M.,microsporidiosis,
1419,Microsporum audouinii M.,,
1420,Microsporum canis M.,,
1421,Microsporum ferrugineum M.,,
1422,Middle East respiratory syndrome-related coronavirus MERS,,
1423,Millerozyma farinosa M.,,
1424,Mitsuokella multacida M.,,
1425,Mobala mammarenavirus MMV,,
1426,Mobiluncus curtisii subsp. curtisii M.,"Endometritis, chorioamnionitis",
1427,Mobiluncus curtisii subsp. holmesii M.,"Endometritis, chorioamnionitis",
1428,Mobiluncus mulieris M.,"Endometritis, chorioamnionitis",
1429,Modoc virus MV,,
1430,Moellerella wisconsensis M.,Diarrhoea,
1431,Mogibacterium diversum M.,Endodontic infection,
1432,Mogibacterium neglectum M.,Endodontic infection,
1433,Mogibacterium timidum M.,"Wounds, abscesses, septicaemia, periodontitis",
1434,Mojiang henipavirus MHV,,
1435,Mokola lyssavirus MLV,,
1436,Mollusca M.,shellfish allergy;mollusc allergy,
1437,Molluscum contagiosum virus MCV,molluscum contagiosum,
1438,Monascus ruber M.,,
1439,Moniliella suaveolens M.,,
1440,Monkeypox virus MV,,
1441,Montana myotis leukoencephalitis virus MMLV,,
1442,Montano orthohantavirus MOV,,
1443,Mopeia mammarenavirus MMV,,
1444,Moraxella atlantae M.,"Conjunctivitis, wound infection, endocarditis, abscesses, osteomyelitis, respiratory infections, endocarditis, bacteraemia",
1445,Moraxella catarrhalis M.,"Conjunctivitis, wound infection, endocarditis, abscesses, osteomyelitis, respiratory infections, endocarditis, bacteraemia",
1446,Moraxella lacunata M.,"Conjunctivitis, wound infection, endocarditis, abscesses, osteomyelitis, respiratory infections, endocarditis, bacteraemia",
1447,Moraxella nonliquefaciens M.,"Conjunctivitis, wound infection, endocarditis, abscesses, osteomyelitis, respiratory infections, endocarditis, bacteraemia",
1448,Moraxella osloensis M.,"Conjunctivitis, wound infection, endocarditis, abscesses, osteomyelitis, respiratory infections, endocarditis, bacteraemia",
1449,Morganella morganii subsp. morganii M.,"Bacteraemia, UTI, wound infection",
1450,Morganella morganii subsp. sibonii M.,"Bacteraemia, UTI, wound infection",
1451,Morogoro mammarenavirus MMV,,
1452,Mortierella polycephala M.,,
1453,Mortierella wolfii M.,,
1454,Moryella indoligenes M.,,
1455,Mossman virus MV,,
1456,Mucor amphibiorum M.,,
1457,Mucor circinelloides M.,,
1458,Mucor hiemalis M.,,
1459,Mucor indicus M.,,
1460,Mucor irregularis M.,,
1461,Mucor racemosus M.,,
1462,Mucor ramosissimus M.,,
1463,Mumps rubulavirus MRV,,
1464,Mumps virus MV,mumps,
1465,Mupapillomavirus 1 MV,,
1466,Murray Valley encephalitis virus MVEV,Murray Valley encephalitis,
1467,Mus musculus M.,lymphocytic choriomeningitis,
1468,Mycobacterium abscessus M.,,
1469,Mycobacterium abscessus subsp. bolletii M.,,
1470,Mycobacterium abscessus subsp. massiliense M.,,
1471,Mycobacterium africanum M.,,
1472,Mycobacterium alvei M.,,
1473,Mycobacterium arupense M.,,
1474,Mycobacterium asiaticum M.,,
1475,Mycobacterium aubagnense M.,,
1476,Mycobacterium aurum M.,,
1477,Mycobacterium avium M.,,
1478,Mycobacterium avium complex M.,Mycobacterium avium complex disease,
1479,Mycobacterium barrassiae M.,,
1480,Mycobacterium boenickei M.,,
1481,Mycobacterium bohemicum M.,,
1482,Mycobacterium bovis M.,,
1483,Mycobacterium branderi M.,,
1484,Mycobacterium brisbanense M.,,
1485,Mycobacterium brumae M.,,
1486,Mycobacterium canariasense M.,,
1487,Mycobacterium celatum M.,,
1488,Mycobacterium chelonae M.,,
1489,Mycobacterium chimaera M.,,
1490,Mycobacterium chubuense M.,,
1491,Mycobacterium colombiense M.,,
1492,Mycobacterium conceptionense M.,,
1493,Mycobacterium confluentis M.,,
1494,Mycobacterium conspicuum M.,,
1495,Mycobacterium cookii M.,,
1496,Mycobacterium cosmeticum M.,,
1497,Mycobacterium doricum M.,,
1498,Mycobacterium elephantis M.,,
1499,Mycobacterium flavescens M.,,
1500,Mycobacterium florentinum M.,,
1501,Mycobacterium fortuitum M.,,
1502,Mycobacterium gadium M.,,
1503,Mycobacterium gastri M.,,
1504,Mycobacterium genavense M.,,
1505,Mycobacterium goodii M.,,
1506,Mycobacterium gordonae M.,,
1507,Mycobacterium haemophilum M.,,
1508,Mycobacterium hassiacum M.,,
1509,Mycobacterium heckeshornense M.,,
1510,Mycobacterium heidelbergense M.,,
1511,Mycobacterium hodleri M.,,
1512,Mycobacterium holsaticum M.,,
1513,Mycobacterium houstonense M.,,
1514,Mycobacterium immunogenum M.,,
1515,Mycobacterium interjectum M.,,
1516,Mycobacterium intracellulare M.,,
1517,Mycobacterium jacuzzii M.,,
1518,Mycobacterium kansasii M.,,
1519,Mycobacterium kubicae M.,,
1520,Mycobacterium kumamotonense M.,,
1521,Mycobacterium lacus M.,,
1522,Mycobacterium lentiflavum M.,,
1523,Mycobacterium leprae M.,leprosy,
1524,Mycobacterium mageritense M.,,
1525,Mycobacterium malmoense M.,,
1526,Mycobacterium marinum M.,,
1527,Mycobacterium microti M.,,
1528,Mycobacterium monacense M.,,
1529,Mycobacterium mucogenicum M.,,
1530,Mycobacterium nebraskense M.,,
1531,Mycobacterium neoaurum M.,,
1532,Mycobacterium neworleansense M.,,
1533,Mycobacterium nonchromogenicum M.,,
1534,Mycobacterium novocastrense M.,,
1535,Mycobacterium palustre M.,,
1536,Mycobacterium parascrofulaceum M.,,
1537,Mycobacterium parmense M.,,
1538,Mycobacterium peregrinum M.,,
1539,Mycobacterium phlei M.,,
1540,Mycobacterium phocaicum M.,,
1541,Mycobacterium porcinum M.,,
1542,Mycobacterium saskatchewanense M.,,
1543,Mycobacterium scrofulaceum M.,,
1544,Mycobacterium seoulense M.,,
1545,Mycobacterium septicum M.,,
1546,Mycobacterium shimoidei M.,,
1547,Mycobacterium simiae M.,,
1548,Mycobacterium smegmatis M.,,
1549,Mycobacterium szulgai M.,,
1550,Mycobacterium terrae M.,,
1551,Mycobacterium thermoresistibile M.,,
1552,Mycobacterium triplex M.,,
1553,Mycobacterium triviale M.,,
1554,Mycobacterium tuberculosis M.,Tuberculosis,"abdominal pain,  cytopenia,  enlargement of lymph nodes,  fatigue,  fever,  hepatosplenomegaly,  weight loss,  chronic cough,  acute dyspnea,  heart failure,  rapid respiration,  acute weight loss,  anorexia,  listlessness,  moderate anemia,  pale mucous membrane,  rales,  abnormal chest sound,  brain cyst,  epileptic seizure,  abscess,  abnormal behavior,  abnormal involuntary movement,  acute mental dysfunction,  convulsion,  loss of consciousness,  memory impairment,  pareses, abdominal pain,"
1555,Mycobacterium tuberculosis 210 M.,Tuberculosis,
1556,Mycobacterium tuberculosis C M.,Tuberculosis,
1557,Mycobacterium tuberculosis CDC1551 M.,Tuberculosis,
1558,Mycobacterium tuberculosis F11 M.,Tuberculosis,
1559,Mycobacterium tuberculosis H37Rv M.,Tuberculosis,
1560,Mycobacterium tuberculosis str. Haarlem M.,Tuberculosis,
1561,Mycobacterium tusciae M.,,
1562,Mycobacterium ulcerans M.,Buruli ulcer disease,
1563,Mycobacterium vaccae M.,,
1564,Mycobacterium wolinskyi M.,,
1565,Mycobacterium xenopi M.,,
1566,Mycocentrospora acerina M.,,
1567,Mycoleptodiscus indicus M.,,
1568,Mycoplasma amphoriforme M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1569,Mycoplasma buccale M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1570,Mycoplasma faucium M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1571,Mycoplasma fermentans M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1572,Mycoplasma genitalium M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1573,Mycoplasma hominis M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1574,Mycoplasma lipophilum M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1575,Mycoplasma orale M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1576,Mycoplasma penetrans M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1577,Mycoplasma phocicerebrale M.,Seal finger,
1578,Mycoplasma pirum M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1579,Mycoplasma pneumoniae M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1580,Mycoplasma primatum M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1581,Mycoplasma salivarium M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1582,Mycoplasma spermatophilum M.,"Respiratory infection, postpartum fever, pyelonephritis, pelvic inflammatory disease, myocarditis, pericarditis, meningitis",
1583,Myodes glareolus M.,nephropathia epidemica;hantavirus pulmonary syndrome,
1584,Myriodontium keratinophilum M.,,
1585,Myrmecridium schulzeri M.,,
1586,Myroides odoratimimus M.,"UTI, wound infection",
1587,Myroides odoratus M.,"UTI, wound infection",
1588,Myxotrichum deflexum M.,,
1589,Naganishia albida N.,,
1590,Nannizzia corniculata N.,,
1591,Nannizzia fulva N.,,
1592,Nannizzia gypsea N.,,
1593,Nannizzia incurvata N.,,
1594,Nannizzia nana N.,,
1595,Nannizzia persicolor N.,,
1596,Nannizzia praecox N.,,
1597,Nannizziopsis guarroi N.,,
1598,Nannizziopsis vriesii N.,,
1599,Nariva virus NV,,
1600,Nectria haematococca N.,,
1601,Neisseria animaloris N.,"Wound infections, abscesses, endocarditis, meningitis, bacteraemia",
1602,Neisseria bacilliformis N.,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
1603,Neisseria canis N.,"Wound infections, abscesses, endocarditis, meningitis, bacteraemia",
1604,Neisseria cinerea N.,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
1605,Neisseria elongata subsp. elongata N.,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
1606,Neisseria elongata subsp. glycolytica N.,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
1607,Neisseria elongata subsp. nitroreducens N.,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
1608,Neisseria flavescens N.,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
1609,Neisseria gonorrhoeae N.,gonorrhea;Gonorrhoea; septicaemia; ophthalmia neonatorum,
1610,Neisseria lactamica N.,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
1611,Neisseria meningitidis N.,"Septicaemia, meningitis, conjunctivitis, genital infection, epiglottitis",
1612,Neisseria mucosa N.,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
1613,Neisseria polysaccharea N.,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
1614,Neisseria sicca N.,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
1615,Neisseria subflava N.,"Meningitis, bacteraemia, endocarditis, osteomyelitis",
